"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"198"	TRUE	"m"	"GSM356521"	720	"GSM356522"
"199"	TRUE	"m"	"GSM356522"	720	"GSM356523"
"200"	TRUE	"m"	"GSM356523"	720	"GSM356524"
"201"	TRUE	"m"	"GSM356524"	720	"GSM356525"
"202"	TRUE	"m"	"GSM356525"	720	"GSM356526"
"203"	TRUE	"l"	"GSM356526"	720	"GSM356527"
"204"	TRUE	"f"	NA	0	"GSM356528"
"205"	TRUE	"m"	"GSM356528"	720	"GSM356529"
"206"	TRUE	"m"	"GSM356529"	720	"GSM356530"
"207"	TRUE	"m"	"GSM356530"	720	"GSM356531"
"208"	TRUE	"m"	"GSM356531"	720	"GSM356532"
"209"	TRUE	"m"	"GSM356532"	720	"GSM356533"
"210"	TRUE	"m"	"GSM356533"	720	"GSM356534"
"211"	TRUE	"m"	"GSM356534"	720	"GSM356535"
"212"	TRUE	"l"	"GSM356535"	720	"GSM356536"
"213"	TRUE	"f"	NA	0	"GSM385479"
"214"	TRUE	"m"	"GSM385479"	15	"GSM385480"
"215"	TRUE	"l"	"GSM385480"	15	"GSM385481"
"216"	TRUE	"f"	NA	0	"GSM385482"
"217"	TRUE	"m"	"GSM385482"	60	"GSM385483"
"218"	TRUE	"m"	"GSM385483"	120	"GSM385484"
"219"	TRUE	"m"	"GSM385484"	240	"GSM385485"
"220"	TRUE	"l"	"GSM385485"	960	"GSM385486"
"221"	TRUE	"f"	NA	0	"GSM385487"
"222"	TRUE	"m"	"GSM385487"	15	"GSM385488"
"223"	TRUE	"l"	"GSM385488"	15	"GSM385489"
"224"	TRUE	"f"	NA	0	"GSM385490"
"225"	TRUE	"m"	"GSM385490"	60	"GSM385491"
"226"	TRUE	"m"	"GSM385491"	120	"GSM385492"
"227"	TRUE	"m"	"GSM385492"	240	"GSM385493"
"228"	TRUE	"l"	"GSM385493"	960	"GSM385494"
"229"	TRUE	"f"	NA	0	"GSM385495"
"230"	TRUE	"m"	"GSM385495"	15	"GSM385496"
"231"	TRUE	"l"	"GSM385496"	15	"GSM385497"
"232"	TRUE	"f"	NA	0	"GSM385498"
"233"	TRUE	"m"	"GSM385498"	60	"GSM385499"
"234"	TRUE	"m"	"GSM385499"	120	"GSM385500"
"235"	TRUE	"m"	"GSM385500"	240	"GSM385501"
"236"	TRUE	"l"	"GSM385501"	960	"GSM385502"
"237"	TRUE	"f"	NA	0	"GSM399865"
"238"	TRUE	"m"	"GSM399865"	30	"GSM399866"
"239"	TRUE	"l"	"GSM399866"	15	"GSM399867"
"240"	TRUE	"f"	NA	0	"GSM399865"
"241"	TRUE	"m"	"GSM399865"	30	"GSM399868"
"242"	TRUE	"l"	"GSM399868"	15	"GSM399869"
"243"	TRUE	"f"	NA	0	"GSM399865"
"244"	TRUE	"m"	"GSM399865"	15	"GSM399870"
"245"	TRUE	"m"	"GSM399870"	15	"GSM399871"
"246"	TRUE	"m"	"GSM399871"	15	"GSM399872"
"247"	TRUE	"l"	"GSM399872"	45	"GSM399873"
"248"	TRUE	"f"	NA	0	"GSM399865"
"249"	TRUE	"m"	"GSM399865"	15	"GSM399874"
"250"	TRUE	"m"	"GSM399874"	15	"GSM399875"
"251"	TRUE	"m"	"GSM399875"	15	"GSM399876"
"252"	TRUE	"l"	"GSM399876"	45	"GSM399877"
"253"	TRUE	"f"	NA	0	"GSM399865"
"254"	TRUE	"m"	"GSM399865"	15	"GSM399878"
"255"	TRUE	"l"	"GSM399878"	30	"GSM399879"
"256"	TRUE	"f"	NA	0	"GSM399865"
"257"	TRUE	"m"	"GSM399865"	15	"GSM399880"
"258"	TRUE	"m"	"GSM399880"	15	"GSM399881"
"259"	TRUE	"m"	"GSM399881"	15	"GSM399882"
"260"	TRUE	"l"	"GSM399882"	45	"GSM399883"
"261"	TRUE	"f"	NA	0	"GSM399865"
"262"	TRUE	"m"	"GSM399865"	15	"GSM399884"
"263"	TRUE	"l"	"GSM399884"	30	"GSM399885"
"264"	TRUE	"f"	NA	0	"GSM421939"
"265"	TRUE	"m"	"GSM421939"	15	"GSM421941"
"266"	TRUE	"m"	"GSM421941"	15	"GSM421943"
"267"	TRUE	"l"	"GSM421943"	30	"GSM421945"
"268"	TRUE	"f"	NA	0	"GSM421940"
"269"	TRUE	"m"	"GSM421940"	15	"GSM421942"
"270"	TRUE	"m"	"GSM421942"	15	"GSM421944"
"271"	TRUE	"l"	"GSM421944"	30	"GSM421946"
"272"	TRUE	"f"	NA	0	"GSM421947"
"273"	TRUE	"m"	"GSM421947"	15	"GSM421949"
"274"	TRUE	"m"	"GSM421949"	15	"GSM421950"
"275"	TRUE	"l"	"GSM421950"	30	"GSM421952"
"276"	TRUE	"f"	NA	0	"GSM421948"
"277"	TRUE	"m"	"GSM421948"	30	"GSM421951"
"278"	TRUE	"l"	"GSM421951"	30	"GSM421953"
"279"	TRUE	"f"	NA	0	"GSM421954"
"280"	TRUE	"m"	"GSM421954"	15	"GSM421956"
"281"	TRUE	"m"	"GSM421956"	15	"GSM421958"
"282"	TRUE	"l"	"GSM421958"	30	"GSM421960"
