"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"1611"	FALSE	"e"	NA	0	"GSM344281"
"1612"	FALSE	"e"	NA	0	"GSM344291"
"1613"	FALSE	"e"	NA	0	"GSM344295"
"1614"	FALSE	"e"	NA	0	"GSM344297"
"1615"	FALSE	"e"	NA	0	"GSM344298"
"1616"	FALSE	"e"	NA	0	"GSM344304"
"1617"	FALSE	"e"	NA	0	"GSM344308"
"1618"	FALSE	"e"	NA	0	"GSM344310"
"1619"	FALSE	"e"	NA	0	"GSM344312"
"1620"	FALSE	"e"	NA	0	"GSM344313"
"1621"	FALSE	"e"	NA	0	"GSM344317"
"1708"	FALSE	"e"	NA	0	"GSM432203"
"1709"	FALSE	"e"	NA	0	"GSM432204"
"1710"	FALSE	"e"	NA	0	"GSM432205"
"1711"	FALSE	"e"	NA	0	"GSM432206"
"1712"	FALSE	"e"	NA	0	"GSM432207"
"1713"	FALSE	"e"	NA	0	"GSM432208"
"1742"	FALSE	"e"	NA	0	"GSM434047"
"1862"	FALSE	"e"	NA	0	"GSM476081"
"1863"	FALSE	"e"	NA	0	"GSM476082"
"1864"	FALSE	"e"	NA	0	"GSM476083"
"1865"	FALSE	"e"	NA	0	"GSM476084"
"1866"	FALSE	"e"	NA	0	"GSM476085"
"1867"	FALSE	"e"	NA	0	"GSM476086"
"1868"	FALSE	"e"	NA	0	"GSM476087"
"1869"	FALSE	"e"	NA	0	"GSM476088"
"1870"	FALSE	"e"	NA	0	"GSM476089"
"1871"	FALSE	"e"	NA	0	"GSM476090"
"1872"	FALSE	"e"	NA	0	"GSM476091"
"1873"	FALSE	"e"	NA	0	"GSM476092"
"1874"	FALSE	"e"	NA	0	"GSM476093"
"1875"	FALSE	"e"	NA	0	"GSM476094"
"1876"	FALSE	"e"	NA	0	"GSM476095"
"1877"	FALSE	"e"	NA	0	"GSM476096"
"1977"	FALSE	"e"	NA	0	"GSM530137"
"1978"	FALSE	"e"	NA	0	"GSM530138"
"1981"	FALSE	"e"	NA	0	"GSM530141"
"1982"	FALSE	"e"	NA	0	"GSM530142"
"1983"	FALSE	"e"	NA	0	"GSM530143"
"1984"	FALSE	"e"	NA	0	"GSM530144"
"1986"	FALSE	"e"	NA	0	"GSM530146"
"1987"	FALSE	"e"	NA	0	"GSM530147"
"1988"	FALSE	"e"	NA	0	"GSM530148"
"1989"	FALSE	"e"	NA	0	"GSM530149"
"1990"	FALSE	"e"	NA	0	"GSM530150"
"1991"	FALSE	"e"	NA	0	"GSM530151"
"1992"	FALSE	"e"	NA	0	"GSM530152"
"1993"	FALSE	"e"	NA	0	"GSM530153"
"1994"	FALSE	"e"	NA	0	"GSM530154"
"1995"	FALSE	"e"	NA	0	"GSM530155"
"1996"	FALSE	"e"	NA	0	"GSM530156"
"1997"	FALSE	"e"	NA	0	"GSM530157"
"1998"	FALSE	"e"	NA	0	"GSM530158"
"1999"	FALSE	"e"	NA	0	"GSM530159"
"2000"	FALSE	"e"	NA	0	"GSM530160"
"2221"	FALSE	"e"	NA	0	"GSM627771"
"2222"	FALSE	"e"	NA	0	"GSM627772"
"2223"	FALSE	"e"	NA	0	"GSM627773"
"2224"	FALSE	"e"	NA	0	"GSM627774"
"2225"	FALSE	"e"	NA	0	"GSM627775"
"2226"	FALSE	"e"	NA	0	"GSM627776"
"2227"	FALSE	"e"	NA	0	"GSM627777"
"2228"	FALSE	"e"	NA	0	"GSM627778"
"2359"	FALSE	"e"	NA	0	"GSM713178"
"2360"	FALSE	"e"	NA	0	"GSM713179"
"2361"	FALSE	"e"	NA	0	"GSM713180"
"2362"	FALSE	"e"	NA	0	"GSM713181"
"2363"	FALSE	"e"	NA	0	"GSM713182"
"2364"	FALSE	"e"	NA	0	"GSM713183"
"2366"	FALSE	"e"	NA	0	"GSM713185"
"2370"	FALSE	"e"	NA	0	"GSM721113"
"2372"	FALSE	"e"	NA	0	"GSM721115"
"2374"	FALSE	"e"	NA	0	"GSM721128"
"2375"	FALSE	"e"	NA	0	"GSM721129"
"2376"	FALSE	"e"	NA	0	"GSM721130"
"2377"	FALSE	"e"	NA	0	"GSM721131"
"2378"	FALSE	"e"	NA	0	"GSM721132"
"2440"	FALSE	"e"	NA	0	"GSM777666"
"2441"	FALSE	"e"	NA	0	"GSM777667"
"2552"	FALSE	"e"	NA	0	"GSM826845"
"2553"	FALSE	"e"	NA	0	"GSM826846"
"2554"	FALSE	"e"	NA	0	"GSM826847"
"2555"	FALSE	"e"	NA	0	"GSM826848"
"2556"	FALSE	"e"	NA	0	"GSM826849"
"2557"	FALSE	"e"	NA	0	"GSM826850"
"2558"	FALSE	"e"	NA	0	"GSM826851"
"2559"	FALSE	"e"	NA	0	"GSM826852"
"2560"	FALSE	"e"	NA	0	"GSM826853"
"2561"	FALSE	"e"	NA	0	"GSM842098"
"2562"	FALSE	"e"	NA	0	"GSM842105"
"2643"	FALSE	"e"	NA	0	"GSM881835"
"2644"	FALSE	"e"	NA	0	"GSM881836"
"2645"	FALSE	"e"	NA	0	"GSM881837"
"2646"	FALSE	"e"	NA	0	"GSM881838"
"2647"	FALSE	"e"	NA	0	"GSM881839"
"2648"	FALSE	"e"	NA	0	"GSM881840"
"2649"	FALSE	"e"	NA	0	"GSM881841"
"2650"	FALSE	"e"	NA	0	"GSM881842"
"2651"	FALSE	"e"	NA	0	"GSM881843"
"2652"	FALSE	"e"	NA	0	"GSM881859"
"2653"	FALSE	"e"	NA	0	"GSM881860"
"2654"	FALSE	"e"	NA	0	"GSM881861"
"2694"	FALSE	"e"	NA	0	"GSM896067"
"2695"	FALSE	"e"	NA	0	"GSM896068"
"2696"	FALSE	"e"	NA	0	"GSM896069"
"2697"	FALSE	"e"	NA	0	"GSM896070"
"2698"	FALSE	"e"	NA	0	"GSM896071"
"2699"	FALSE	"e"	NA	0	"GSM896072"
"2700"	FALSE	"e"	NA	0	"GSM896073"
"2701"	FALSE	"e"	NA	0	"GSM896074"
"2746"	FALSE	"e"	NA	0	"GSM907178"
"2747"	FALSE	"e"	NA	0	"GSM907179"
"2748"	FALSE	"e"	NA	0	"GSM907180"
"2751"	FALSE	"e"	NA	0	"GSM907183"
"2752"	FALSE	"e"	NA	0	"GSM907184"
"2756"	FALSE	"e"	NA	0	"GSM920571"
